Index,dc0_data_feed_ch0,dc0_data_feed_ch1,dc0_data_feed_ch2
0,-4.533749580383301000,1.657499909400940000,12.431249618530273000
1,-4.533749580383301000,1.657499909400940000,12.431249618530273000
2,-5.508749961853027000,5.898749828338623000,12.528750419616700000
3,-5.898749828338623000,6.142499923706055000,8.775000572204590000
4,-5.898749828338623000,6.142499923706055000,8.775000572204590000
5,-5.655000209808350000,5.508749961853027000,10.383749961853027000
6,-5.655000209808350000,5.508749961853027000,10.383749961853027000
7,-5.362499713897705000,5.606250286102295000,9.018750190734863000
8,-5.021249771118164000,5.801249980926514000,9.506250381469727000
9,-5.021249771118164000,5.801249980926514000,9.506250381469727000
10,-5.021249771118164000,5.947500228881836000,10.091249465942383000
11,-5.021249771118164000,5.947500228881836000,10.091249465942383000
12,-5.118750095367432000,5.655000209808350000,10.237500190734863000
13,-5.118750095367432000,5.655000209808350000,10.237500190734863000
14,-5.167500019073486000,5.703749656677246000,9.798749923706055000
15,-5.313749790191650000,5.216249942779541000,9.457500457763672000
16,-5.313749790191650000,5.216249942779541000,9.457500457763672000
17,-5.362499713897705000,4.875000000000000000,9.555000305175781000
18,-5.362499713897705000,4.875000000000000000,9.555000305175781000
19,-5.313749790191650000,5.021249771118164000,10.042499542236328000
20,-5.362499713897705000,5.557499885559082000,10.578749656677246000
21,-5.362499713897705000,5.557499885559082000,10.578749656677246000
22,-5.313749790191650000,5.508749961853027000,10.042499542236328000
23,-5.313749790191650000,5.508749961853027000,10.042499542236328000
24,-5.264999866485596000,5.557499885559082000,10.140000343322754000
25,-5.264999866485596000,5.557499885559082000,10.140000343322754000
26,-5.070000171661377000,5.460000038146973000,9.798749923706055000
27,-5.070000171661377000,5.655000209808350000,9.750000000000000000
28,-5.070000171661377000,5.655000209808350000,9.750000000000000000
29,-5.167500019073486000,5.703749656677246000,9.798749923706055000
30,-5.167500019073486000,5.703749656677246000,9.798749923706055000
31,-5.460000038146973000,5.947500228881836000,8.970000267028809000
32,-4.631249904632568000,5.264999866485596000,10.871250152587890000
33,-4.631249904632568000,5.264999866485596000,10.871250152587890000
34,-5.508749961853027000,5.021249771118164000,10.676249504089355000
35,-5.508749961853027000,5.021249771118164000,10.676249504089355000
36,-5.264999866485596000,6.142499923706055000,9.750000000000000000
37,-5.264999866485596000,6.142499923706055000,9.750000000000000000
38,-5.460000038146973000,5.947500228881836000,11.017499923706055000
39,-5.460000038146973000,5.508749961853027000,9.944999694824219000
40,-5.460000038146973000,5.508749961853027000,9.944999694824219000
41,-5.264999866485596000,5.264999866485596000,10.188750267028809000
42,-5.264999866485596000,5.264999866485596000,10.188750267028809000
43,-5.070000171661377000,5.801249980926514000,10.286250114440918000
44,-5.021249771118164000,5.606250286102295000,9.847499847412110000
45,-5.021249771118164000,5.606250286102295000,9.847499847412110000
46,-5.021249771118164000,5.411250114440918000,9.750000000000000000
47,-5.021249771118164000,5.411250114440918000,9.750000000000000000
48,-5.118750095367432000,5.362499713897705000,9.652500152587890000
49,-5.118750095367432000,5.655000209808350000,9.652500152587890000
50,-5.118750095367432000,5.655000209808350000,9.652500152587890000
51,-5.118750095367432000,5.508749961853027000,9.798749923706055000
52,-5.118750095367432000,5.508749961853027000,9.798749923706055000
53,-5.460000038146973000,5.118750095367432000,9.555000305175781000
54,-5.460000038146973000,5.118750095367432000,9.555000305175781000
55,-5.411250114440918000,5.508749961853027000,9.555000305175781000
56,-4.875000000000000000,5.752500057220459000,11.066249847412110000
57,-4.875000000000000000,5.752500057220459000,11.066249847412110000
58,-5.021249771118164000,5.849999904632568000,11.261250495910645000
59,-5.021249771118164000,5.849999904632568000,11.261250495910645000
60,-4.631249904632568000,5.411250114440918000,11.748749732971191000
61,-4.777500152587891000,5.313749790191650000,10.042499542236328000
62,-4.777500152587891000,5.313749790191650000,10.042499542236328000
63,-7.312499523162842000,3.802500009536743000,6.483749866485596000
64,-7.312499523162842000,3.802500009536743000,6.483749866485596000
65,-4.826250076293945000,5.460000038146973000,13.064999580383300000
66,-4.826250076293945000,5.460000038146973000,13.064999580383300000
67,-5.070000171661377000,4.387500286102295000,9.116250038146973000
68,-5.070000171661377000,5.947500228881836000,9.359999656677246000
69,-5.070000171661377000,5.947500228881836000,9.359999656677246000
70,-4.923749923706055000,5.411250114440918000,11.017499923706055000
71,-4.923749923706055000,5.411250114440918000,11.017499923706055000
72,-4.923749923706055000,5.216249942779541000,9.847499847412110000
73,-5.167500019073486000,5.313749790191650000,10.481250762939453000
74,-5.167500019073486000,5.313749790191650000,10.481250762939453000
75,-7.605000019073486000,4.289999961853027000,7.458750247955322000
76,-7.605000019073486000,4.289999961853027000,7.458750247955322000
77,-4.679999828338623000,5.996250152587891000,13.162499427795410000
78,-4.679999828338623000,5.996250152587891000,13.162499427795410000
79,-4.875000000000000000,4.095000267028809000,10.968750000000000000
80,-5.070000171661377000,5.801249980926514000,9.896249771118164000
81,-5.070000171661377000,5.801249980926514000,9.896249771118164000
82,-4.631249904632568000,3.851249694824218800,11.310000419616700000
83,-4.631249904632568000,3.851249694824218800,11.310000419616700000
84,-4.923749923706055000,6.045000076293945000,9.018750190734863000
85,-5.898749828338623000,3.802500009536743000,8.092500686645508000
86,-5.898749828338623000,3.802500009536743000,8.092500686645508000
87,-4.679999828338623000,6.727500438690185500,10.724999427795410000
88,-4.679999828338623000,6.727500438690185500,10.724999427795410000
89,-4.875000000000000000,4.485000133514404000,9.847499847412110000
90,-5.557499885559082000,4.972499847412109000,9.652500152587890000
91,-5.557499885559082000,4.972499847412109000,9.652500152587890000
92,-5.606250286102295000,5.070000171661377000,10.724999427795410000
93,-5.606250286102295000,5.070000171661377000,10.724999427795410000
94,-5.801249980926514000,5.557499885559082000,10.773749351501465000
95,-5.801249980926514000,5.557499885559082000,10.773749351501465000
96,-5.655000209808350000,4.143749713897705000,10.383749961853027000
97,-5.557499885559082000,4.679999828338623000,10.529999732971191000
98,-5.557499885559082000,4.679999828338623000,10.529999732971191000
99,-5.216249942779541000,5.508749961853027000,10.383749961853027000
100,-5.216249942779541000,5.508749961853027000,10.383749961853027000
101,-4.972499847412109000,5.703749656677246000,10.237500190734863000
102,-4.582499980926514000,6.142499923706055000,11.651249885559082000
103,-4.582499980926514000,6.142499923706055000,11.651249885559082000
104,-3.656249761581421000,5.801249980926514000,11.505000114440918000
105,-3.656249761581421000,5.801249980926514000,11.505000114440918000
106,-4.046250343322754000,6.532499790191650000,10.920000076293945000
107,-4.046250343322754000,6.532499790191650000,10.920000076293945000
108,-4.241250038146973000,5.557499885559082000,9.847499847412110000
109,-4.533749580383301000,3.997499942779541000,9.701250076293945000
110,-4.533749580383301000,3.997499942779541000,9.701250076293945000
111,-5.264999866485596000,4.436250209808350000,9.701250076293945000
112,-5.264999866485596000,4.436250209808350000,9.701250076293945000
113,-6.093750000000000000,4.631249904632568000,9.262499809265137000
114,-5.898749828338623000,4.875000000000000000,9.944999694824219000
115,-5.898749828338623000,4.875000000000000000,9.944999694824219000
116,-5.752500057220459000,4.143749713897705000,9.701250076293945000
117,-5.752500057220459000,4.143749713897705000,9.701250076293945000
118,-5.216249942779541000,3.948750019073486300,10.822500228881836000
119,-5.216249942779541000,3.948750019073486300,10.822500228881836000
120,-4.631249904632568000,4.679999828338623000,10.724999427795410000
121,-3.997499942779541000,6.922499656677246000,9.847499847412110000
122,-3.997499942779541000,6.922499656677246000,9.847499847412110000
123,-3.802500009536743000,6.483749866485596000,8.921250343322754000
124,-3.802500009536743000,6.483749866485596000,8.921250343322754000
125,-4.046250343322754000,5.118750095367432000,10.529999732971191000
126,-5.167500019073486000,4.387500286102295000,11.066249847412110000
127,-5.167500019073486000,4.387500286102295000,11.066249847412110000
128,-6.093750000000000000,5.216249942779541000,10.773749351501465000
129,-6.093750000000000000,5.216249942779541000,10.773749351501465000
130,-5.996250152587891000,5.118750095367432000,11.358749389648438000
131,-5.898749828338623000,4.923749923706055000,11.699999809265137000
132,-5.898749828338623000,4.923749923706055000,11.699999809265137000
133,-5.898749828338623000,4.582499980926514000,10.773749351501465000
134,-5.898749828338623000,4.582499980926514000,10.773749351501465000
135,-5.508749961853027000,4.485000133514404000,10.676249504089355000
136,-5.508749961853027000,4.485000133514404000,10.676249504089355000
137,-5.021249771118164000,4.436250209808350000,10.724999427795410000
138,-4.533749580383301000,5.167500019073486000,10.188750267028809000
139,-4.533749580383301000,5.167500019073486000,10.188750267028809000
140,-3.510000228881836000,4.582499980926514000,9.506250381469727000
141,-3.510000228881836000,4.582499980926514000,9.506250381469727000
142,-3.266249895095825000,4.777500152587891000,9.262499809265137000
143,-3.217499971389770500,4.338749885559082000,9.798749923706055000
144,-3.217499971389770500,4.338749885559082000,9.798749923706055000
145,-4.436250209808350000,4.485000133514404000,9.993749618530273000
146,-4.436250209808350000,4.485000133514404000,9.993749618530273000
147,-5.752500057220459000,5.996250152587891000,9.993749618530273000
148,-5.752500057220459000,5.996250152587891000,9.993749618530273000
149,-5.606250286102295000,5.898749828338623000,10.773749351501465000
150,-5.167500019073486000,4.241250038146973000,11.651249885559082000
151,-5.167500019073486000,4.241250038146973000,11.651249885559082000
152,-5.557499885559082000,4.241250038146973000,11.748749732971191000
153,-5.557499885559082000,4.241250038146973000,11.748749732971191000
154,-5.655000209808350000,4.777500152587891000,11.114999771118164000
155,-5.411250114440918000,5.313749790191650000,11.407499313354492000
156,-5.411250114440918000,5.313749790191650000,11.407499313354492000
157,-4.972499847412109000,4.241250038146973000,10.578749656677246000
158,-4.972499847412109000,4.241250038146973000,10.578749656677246000
159,-4.972499847412109000,4.143749713897705000,9.652500152587890000
160,-4.972499847412109000,4.143749713897705000,9.652500152587890000
161,-4.875000000000000000,4.485000133514404000,10.383749961853027000
162,-5.070000171661377000,4.728750228881836000,10.724999427795410000
163,-5.070000171661377000,4.728750228881836000,10.724999427795410000
164,-5.460000038146973000,4.679999828338623000,10.286250114440918000
165,-5.460000038146973000,4.679999828338623000,10.286250114440918000
166,-5.557499885559082000,4.533749580383301000,10.383749961853027000
167,-5.801249980926514000,4.777500152587891000,10.042499542236328000
168,-5.801249980926514000,4.777500152587891000,10.042499542236328000
169,-5.411250114440918000,4.631249904632568000,9.652500152587890000
170,-5.411250114440918000,4.631249904632568000,9.652500152587890000
171,-5.703749656677246000,4.875000000000000000,10.188750267028809000
172,-5.313749790191650000,5.216249942779541000,10.237500190734863000
173,-5.313749790191650000,5.216249942779541000,10.237500190734863000
174,-4.631249904632568000,5.362499713897705000,10.481250762939453000
175,-4.631249904632568000,5.362499713897705000,10.481250762939453000
176,-4.679999828338623000,5.118750095367432000,10.188750267028809000
177,-4.679999828338623000,5.118750095367432000,10.188750267028809000
178,-4.728750228881836000,4.631249904632568000,9.993749618530273000
179,-4.582499980926514000,4.631249904632568000,9.944999694824219000
180,-4.582499980926514000,4.631249904632568000,9.944999694824219000
181,-4.485000133514404000,4.826250076293945000,9.750000000000000000
182,-4.485000133514404000,4.826250076293945000,9.750000000000000000
183,-4.582499980926514000,4.679999828338623000,10.140000343322754000
184,-4.972499847412109000,4.972499847412109000,10.481250762939453000
185,-4.972499847412109000,4.972499847412109000,10.481250762939453000
186,-5.264999866485596000,5.070000171661377000,10.432499885559082000
187,-5.264999866485596000,5.070000171661377000,10.432499885559082000
188,-5.508749961853027000,5.216249942779541000,10.140000343322754000
189,-5.508749961853027000,5.216249942779541000,10.140000343322754000
190,-5.508749961853027000,5.118750095367432000,10.188750267028809000
191,-5.655000209808350000,5.216249942779541000,9.896249771118164000
192,-5.655000209808350000,5.216249942779541000,9.896249771118164000
193,-5.655000209808350000,5.216249942779541000,9.750000000000000000
194,-5.655000209808350000,5.216249942779541000,9.750000000000000000
195,-5.557499885559082000,4.923749923706055000,10.237500190734863000
196,-5.557499885559082000,5.313749790191650000,10.676249504089355000
197,-5.557499885559082000,5.313749790191650000,10.676249504089355000
198,-5.411250114440918000,4.972499847412109000,10.676249504089355000
199,-5.411250114440918000,4.972499847412109000,10.676249504089355000
200,-5.362499713897705000,4.533749580383301000,10.627499580383300000
201,-5.118750095367432000,4.533749580383301000,10.432499885559082000
202,-5.118750095367432000,4.533749580383301000,10.432499885559082000
203,-5.264999866485596000,4.923749923706055000,10.140000343322754000
204,-5.264999866485596000,4.923749923706055000,10.140000343322754000
205,-5.264999866485596000,4.679999828338623000,10.091249465942383000
206,-5.264999866485596000,4.679999828338623000,10.091249465942383000
207,-5.313749790191650000,4.826250076293945000,10.481250762939453000
208,-5.460000038146973000,4.972499847412109000,10.481250762939453000
209,-5.460000038146973000,4.972499847412109000,10.481250762939453000
210,-5.411250114440918000,4.387500286102295000,10.237500190734863000
211,-5.411250114440918000,4.387500286102295000,10.237500190734863000
212,-5.557499885559082000,4.826250076293945000,10.871250152587890000
213,-5.703749656677246000,4.826250076293945000,10.140000343322754000
214,-5.703749656677246000,4.826250076293945000,10.140000343322754000
215,-5.703749656677246000,4.875000000000000000,9.750000000000000000
216,-5.703749656677246000,4.875000000000000000,9.750000000000000000
217,-5.508749961853027000,2.144999980926513700,10.822500228881836000
218,-5.508749961853027000,2.144999980926513700,10.822500228881836000
219,-5.460000038146973000,-4.485000133514404000,10.822500228881836000
220,-5.070000171661377000,10.140000343322754000,9.018750190734863000
221,-5.070000171661377000,10.140000343322754000,9.018750190734863000
222,-5.216249942779541000,6.483749866485596000,5.167500019073486000
223,-5.216249942779541000,6.483749866485596000,5.167500019073486000
224,-4.241250038146973000,4.192499637603760000,12.090000152587890000
225,-4.241250038146973000,3.997499942779541000,10.481250762939453000
226,-4.241250038146973000,3.997499942779541000,10.481250762939453000
227,-4.533749580383301000,5.021249771118164000,9.213749885559082000
228,-4.533749580383301000,5.021249771118164000,9.213749885559082000
229,-4.582499980926514000,4.972499847412109000,10.578749656677246000
230,-4.582499980926514000,4.972499847412109000,10.578749656677246000
231,-4.777500152587891000,4.631249904632568000,10.383749961853027000
232,-5.070000171661377000,4.777500152587891000,10.432499885559082000
233,-5.070000171661377000,4.777500152587891000,10.432499885559082000
234,-5.216249942779541000,5.118750095367432000,10.578749656677246000
235,-5.216249942779541000,5.118750095367432000,10.578749656677246000
236,-5.070000171661377000,4.826250076293945000,10.529999732971191000
237,-5.021249771118164000,4.582499980926514000,10.432499885559082000
238,-5.021249771118164000,4.582499980926514000,10.432499885559082000
239,-4.875000000000000000,4.728750228881836000,9.847499847412110000
240,-4.875000000000000000,4.728750228881836000,9.847499847412110000
241,-4.436250209808350000,4.533749580383301000,10.773749351501465000
242,-4.338749885559082000,4.387500286102295000,10.578749656677246000
243,-4.338749885559082000,4.387500286102295000,10.578749656677246000
244,-4.728750228881836000,4.582499980926514000,9.993749618530273000
245,-4.728750228881836000,4.582499980926514000,9.993749618530273000
246,-5.021249771118164000,4.728750228881836000,10.529999732971191000
247,-5.021249771118164000,4.728750228881836000,10.529999732971191000
248,-5.118750095367432000,4.728750228881836000,10.237500190734863000
249,-5.021249771118164000,4.436250209808350000,10.091249465942383000
250,-5.021249771118164000,4.436250209808350000,10.091249465942383000
251,-5.070000171661377000,4.192499637603760000,9.944999694824219000
252,-5.070000171661377000,4.192499637603760000,9.944999694824219000
253,-5.362499713897705000,4.241250038146973000,9.896249771118164000
254,-5.801249980926514000,4.387500286102295000,9.603750228881836000
255,-5.801249980926514000,4.387500286102295000,9.603750228881836000
256,-6.337500572204590000,4.631249904632568000,8.433750152587890000
257,-6.337500572204590000,4.631249904632568000,8.433750152587890000
258,-6.191249847412109000,4.387500286102295000,8.531250000000000000
259,-6.191249847412109000,4.387500286102295000,8.531250000000000000
260,-5.411250114440918000,4.192499637603760000,9.798749923706055000
261,-5.070000171661377000,4.338749885559082000,10.627499580383300000
262,-5.070000171661377000,4.338749885559082000,10.627499580383300000
263,-4.875000000000000000,4.289999961853027000,11.602499961853027000
264,-4.875000000000000000,4.289999961853027000,11.602499961853027000
265,-4.875000000000000000,4.241250038146973000,11.943750381469727000
266,-5.460000038146973000,4.289999961853027000,11.456249237060547000
267,-5.460000038146973000,4.289999961853027000,11.456249237060547000
268,-5.947500228881836000,4.387500286102295000,10.578749656677246000
269,-5.947500228881836000,4.387500286102295000,10.578749656677246000
270,-6.142499923706055000,4.631249904632568000,9.750000000000000000
271,-6.142499923706055000,4.631249904632568000,9.750000000000000000
272,-5.801249980926514000,4.387500286102295000,9.603750228881836000
273,-5.216249942779541000,4.143749713897705000,9.457500457763672000
274,-5.216249942779541000,4.143749713897705000,9.457500457763672000
275,-4.728750228881836000,3.412499904632568400,9.750000000000000000
276,-4.728750228881836000,3.412499904632568400,9.750000000000000000
277,-4.826250076293945000,3.461249828338623000,10.968750000000000000
278,-5.411250114440918000,3.656249761581421000,11.456249237060547000
279,-5.411250114440918000,3.656249761581421000,11.456249237060547000
280,-5.996250152587891000,3.363750219345092800,11.699999809265137000
281,-5.996250152587891000,3.363750219345092800,11.699999809265137000
282,-6.239999771118164000,3.461249828338623000,11.261250495910645000
283,-6.532499790191650000,4.143749713897705000,11.163750648498535000
284,-6.532499790191650000,4.143749713897705000,11.163750648498535000
285,-6.581249713897705000,3.851249694824218800,10.968750000000000000
286,-6.581249713897705000,3.851249694824218800,10.968750000000000000
287,-6.678750514984131000,3.558750152587890600,10.627499580383300000
288,-6.678750514984131000,3.558750152587890600,10.627499580383300000
289,-6.922499656677246000,3.607500076293945300,10.432499885559082000
290,-6.727500438690185500,3.705000162124634000,10.432499885559082000
291,-6.727500438690185500,3.705000162124634000,10.432499885559082000
292,-6.288749694824219000,3.510000228881836000,10.822500228881836000
293,-6.288749694824219000,3.510000228881836000,10.822500228881836000
294,-6.337500572204590000,3.753750085830688500,10.724999427795410000
295,-6.191249847412109000,3.802500009536743000,10.335000038146973000
296,-6.191249847412109000,3.802500009536743000,10.335000038146973000
297,-6.434999942779541000,4.192499637603760000,9.993749618530273000
298,-6.434999942779541000,4.192499637603760000,9.993749618530273000
