Index,0 ch,1 ch,2 ch,3 ch,4 ch,5 ch
0,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.101400002837181090,0.998399972915649400
1,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.097499996423721310,0.998399972915649400
2,0.986699998378753700,0.046799998730421066,0.136500000953674320,-0.140400007367134100,0.097499996423721310,0.998399972915649400
3,0.986699998378753700,0.046799998730421066,0.140400007367134100,-0.144299998879432680,0.097499996423721310,1.002300024032592800
4,0.986699998378753700,0.046799998730421066,0.140400007367134100,-0.144299998879432680,0.101400002837181090,0.998399972915649400
5,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.101400002837181090,0.998399972915649400
6,0.990599989891052200,0.046799998730421066,0.144299998879432680,-0.140400007367134100,0.101400002837181090,0.998399972915649400
7,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.101400002837181090,1.002300024032592800
8,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.101400002837181090,0.998399972915649400
9,0.990599989891052200,0.050700001418590546,0.140400007367134100,-0.140400007367134100,0.101400002837181090,0.998399972915649400
10,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.101400002837181090,1.002300024032592800
11,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.101400002837181090,0.998399972915649400
12,0.986699998378753700,0.050700001418590546,0.140400007367134100,-0.144299998879432680,0.097499996423721310,0.998399972915649400
13,0.990599989891052200,0.046799998730421066,0.144299998879432680,-0.144299998879432680,0.097499996423721310,0.998399972915649400
14,0.990599989891052200,0.046799998730421066,0.144299998879432680,-0.140400007367134100,0.101400002837181090,0.998399972915649400
15,0.994499981403350800,0.042899999767541885,0.140400007367134100,-0.140400007367134100,0.101400002837181090,0.998399972915649400
16,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.101400002837181090,0.998399972915649400
17,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.093599997460842130,0.998399972915649400
18,0.986699998378753700,0.046799998730421066,0.140400007367134100,-0.144299998879432680,0.105300001800060270,0.998399972915649400
19,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.144299998879432680,0.105300001800060270,0.998399972915649400
20,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.097499996423721310,0.998399972915649400
21,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.144299998879432680,0.097499996423721310,0.998399972915649400
22,0.986699998378753700,0.050700001418590546,0.140400007367134100,-0.132599994540214540,0.093599997460842130,1.002300024032592800
23,0.986699998378753700,0.050700001418590546,0.140400007367134100,-0.132599994540214540,0.093599997460842130,1.002300024032592800
24,0.990599989891052200,0.046799998730421066,0.136500000953674320,-0.136500000953674320,0.097499996423721310,0.998399972915649400
25,0.990599989891052200,0.050700001418590546,0.144299998879432680,-0.144299998879432680,0.097499996423721310,1.002300024032592800
26,0.990599989891052200,0.050700001418590546,0.144299998879432680,-0.144299998879432680,0.097499996423721310,1.002300024032592800
27,0.990599989891052200,0.050700001418590546,0.140400007367134100,-0.144299998879432680,0.097499996423721310,1.002300024032592800
28,0.986699998378753700,0.042899999767541885,0.140400007367134100,-0.144299998879432680,0.097499996423721310,1.002300024032592800
29,0.986699998378753700,0.046799998730421066,0.144299998879432680,-0.144299998879432680,0.097499996423721310,1.002300024032592800
30,0.986699998378753700,0.046799998730421066,0.144299998879432680,-0.144299998879432680,0.101400002837181090,0.998399972915649400
31,0.990599989891052200,0.050700001418590546,0.140400007367134100,-0.140400007367134100,0.097499996423721310,0.998399972915649400
32,0.986699998378753700,0.046799998730421066,0.136500000953674320,-0.140400007367134100,0.101400002837181090,0.998399972915649400
33,0.986699998378753700,0.046799998730421066,0.136500000953674320,-0.140400007367134100,0.101400002837181090,0.998399972915649400
34,0.990599989891052200,0.050700001418590546,0.136500000953674320,-0.144299998879432680,0.097499996423721310,1.002300024032592800
35,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.101400002837181090,1.002300024032592800
36,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.101400002837181090,1.002300024032592800
37,0.994499981403350800,0.042899999767541885,0.132599994540214540,-0.148200005292892460,0.101400002837181090,1.006199955940246600
38,0.990599989891052200,0.046799998730421066,0.136500000953674320,-0.136500000953674320,0.097499996423721310,0.998399972915649400
39,0.990599989891052200,0.046799998730421066,0.136500000953674320,-0.136500000953674320,0.097499996423721310,0.998399972915649400
40,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.097499996423721310,0.998399972915649400
41,0.990599989891052200,0.050700001418590546,0.136500000953674320,-0.140400007367134100,0.093599997460842130,1.002300024032592800
42,0.990599989891052200,0.050700001418590546,0.136500000953674320,-0.140400007367134100,0.097499996423721310,1.002300024032592800
43,0.990599989891052200,0.054600000381469730,0.144299998879432680,-0.140400007367134100,0.097499996423721310,1.002300024032592800
44,0.986699998378753700,0.046799998730421066,0.140400007367134100,-0.136500000953674320,0.101400002837181090,1.002300024032592800
45,0.986699998378753700,0.046799998730421066,0.140400007367134100,-0.136500000953674320,0.097499996423721310,0.998399972915649400
46,0.990599989891052200,0.042899999767541885,0.140400007367134100,-0.136500000953674320,0.097499996423721310,0.998399972915649400
47,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.097499996423721310,1.002300024032592800
48,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.144299998879432680,0.105300001800060270,1.002300024032592800
49,0.990599989891052200,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.097499996423721310,1.006199955940246600
50,0.990599989891052200,0.046799998730421066,0.136500000953674320,-0.140400007367134100,0.097499996423721310,1.006199955940246600
51,0.990599989891052200,0.046799998730421066,0.136500000953674320,-0.140400007367134100,0.097499996423721310,1.002300024032592800
52,0.986699998378753700,0.046799998730421066,0.140400007367134100,-0.140400007367134100,0.093599997460842130,0.998399972915649400
53,0.990599989891052200,0.046799998730421066,0.136500000953674320,-0.140400007367134100,0.093599997460842130,0.998399972915649400
54,0.990599989891052200,0.050700001418590546,0.144299998879432680,-0.140400007367134100,0.101400002837181090,0.998399972915649400
