Index,dc0_data_feed_ch0,dc0_data_feed_ch1,dc0_data_feed_ch2,dc0_data_feed_ch3,dc0_data_feed_ch4,dc0_data_feed_ch5
0,1.088099956512451200,-0.011699999682605267,0.323700010776519800,0.226199999451637270,0.187199994921684270,0.978900015354156500
1,1.088099956512451200,-0.011699999682605267,0.323700010776519800,0.233999997377395630,0.116999998688697810,1.014000058174133300
2,1.150500059127807600,-0.062399998307228090,0.425099998712539700,0.253500014543533300,0.198899999260902400,0.994499981403350800
3,1.380599975585937500,-0.054600000381469730,0.296400010585784900,0.253500014543533300,0.198899999260902400,0.994499981403350800
4,1.439100027084350600,-0.031199999153614044,0.327600002288818360,0.206699997186660770,0.152099996805191040,1.010100007057190000
5,1.439100027084350600,-0.031199999153614044,0.327600002288818360,0.245700001716613770,0.167699992656707760,0.978900015354156500
6,1.513200044631958000,-0.042899999767541885,0.245700001716613770,0.245700001716613770,0.167699992656707760,0.978900015354156500
7,1.595100045204162600,0.015599999576807022,0.226199999451637270,0.257400006055831900,0.128700003027915950,1.017899990081787000
8,1.595100045204162600,0.015599999576807022,0.226199999451637270,0.249599993228912350,0.187199994921684270,0.998399972915649400
9,1.634099960327148400,0.027300000190734863,0.116999998688697810,0.249599993228912350,0.187199994921684270,0.998399972915649400
10,1.618499994277954000,0.039000000804662704,0.085799999535083770,0.233999997377395630,0.156000003218650820,1.021800041198730500
11,1.618499994277954000,0.039000000804662704,0.085799999535083770,0.241799995303154000,0.148200005292892460,0.982800006866455100
12,1.501500010490417500,0.054600000381469730,0.019500000402331352,0.304199993610382100,0.140400007367134100,1.014000058174133300
13,1.478099942207336400,0.093599997460842130,-0.019500000402331352,0.304199993610382100,0.140400007367134100,1.014000058174133300
14,1.478099942207336400,0.093599997460842130,-0.019500000402331352,0.245700001716613770,0.156000003218650820,1.006199955940246600
15,1.353299975395202600,0.081900000572204590,-0.093599997460842130,0.218400001525878900,0.179399996995925900,1.002300024032592800
16,1.220700025558471700,0.085799999535083770,-0.113099999725818630,0.218400001525878900,0.179399996995925900,1.002300024032592800
17,1.220700025558471700,0.085799999535083770,-0.113099999725818630,0.233999997377395630,0.128700003027915950,0.971099972724914600
18,1.092000007629394500,0.132599994540214540,-0.120899997651577000,0.257400006055831900,0.171599999070167540,1.010100007057190000
19,1.014000058174133300,0.081900000572204590,-0.089699998497962950,0.257400006055831900,0.171599999070167540,1.010100007057190000
20,1.014000058174133300,0.081900000572204590,-0.089699998497962950,0.245700001716613770,0.148200005292892460,1.010100007057190000
21,0.881399989128112800,0.062399998307228090,-0.116999998688697810,0.206699997186660770,0.206699997186660770,1.002300024032592800
22,0.799499988555908200,0.105300001800060270,-0.140400007367134100,0.237900003790855400,0.120899997651577000,0.990599989891052200
23,0.799499988555908200,0.105300001800060270,-0.140400007367134100,0.237900003790855400,0.120899997651577000,0.990599989891052200
24,0.717599987983703600,0.128700003027915950,-0.097499996423721310,0.218400001525878900,0.175500005483627320,1.002300024032592800
25,0.612299978733062700,0.081900000572204590,-0.085799999535083770,0.241799995303154000,0.124799996614456180,1.006199955940246600
26,0.612299978733062700,0.081900000572204590,-0.085799999535083770,0.241799995303154000,0.124799996614456180,1.006199955940246600
27,0.561600029468536400,0.093599997460842130,-0.105300001800060270,0.230100005865097050,0.222299993038177500,1.002300024032592800
28,0.510900020599365200,0.128700003027915950,-0.097499996423721310,0.233999997377395630,0.116999998688697810,0.998399972915649400
29,0.510900020599365200,0.128700003027915950,-0.097499996423721310,0.233999997377395630,0.116999998688697810,0.998399972915649400
30,0.499199986457824700,0.120899997651577000,-0.015599999576807022,0.249599993228912350,0.191100001335144040,1.010100007057190000
31,0.487500011920928960,0.109200000762939450,-0.023399999365210533,0.245700001716613770,0.120899997651577000,1.014000058174133300
32,0.487500011920928960,0.109200000762939450,-0.023399999365210533,0.206699997186660770,0.218400001525878900,1.002300024032592800
33,0.561600029468536400,0.105300001800060270,0.035100001841783524,0.206699997186660770,0.218400001525878900,1.002300024032592800
34,0.569400012493133500,0.109200000762939450,0.074100002646446230,0.230100005865097050,0.113099999725818630,0.994499981403350800
35,0.584999978542327900,0.058499999344348910,0.194999992847442630,0.269100010395050050,0.194999992847442630,1.014000058174133300
36,0.584999978542327900,0.058499999344348910,0.194999992847442630,0.269100010395050050,0.194999992847442630,1.014000058174133300
37,0.674700021743774400,0.062399998307228090,0.183300003409385680,0.230100005865097050,0.120899997651577000,1.014000058174133300
